,Year,Jun,Jul,Aug
0,1894.0,58.7,64.3,65.9
1,1895.0,60.9,63.6,62.0
2,1896.0,60.2,67.2,63.9
3,1897.0,60.2,62.7,67.8
4,1898.0,61.4,64.6,66.3
5,1899.0,57.6,65.0,60.5
6,1900.0,61.9,65.0,62.7
7,1901.0,57.1,61.7,65.7
8,1902.0,60.6,63.6,64.4
9,1903.0,61.9,61.9,63.2
10,1904.0,59.7,64.2,63.6
11,1905.0,59.3,64.6,62.6
12,1906.0,58.1,67.7,64.9
13,1907.0,59.4,64.2,61.3
14,1908.0,58.8,65.1,62.2
15,1909.0,59.4,60.7,61.6
16,1910.0,57.5,62.6,60.2
17,1911.0,57.0,65.0,62.6
18,1912.0,60.0,63.4,62.2
19,1913.0,59.5,63.4,64.8
20,1914.0,58.9,64.1,63.1
21,1915.0,59.8,64.3,66.7
22,1916.0,58.9,61.1,63.5
23,1917.0,57.2,63.5,65.1
24,1918.0,61.5,63.0,62.6
25,1919.0,57.5,62.9,62.9
26,1920.0,58.5,64.1,64.5
27,1921.0,59.8,60.8,61.9
28,1922.0,60.9,62.9,62.7
29,1923.0,60.6,64.4,65.7
30,1924.0,59.9,63.5,62.4
31,1925.0,60.1,65.0,62.7
32,1926.0,62.8,66.0,64.1
33,1927.0,61.5,65.2,65.0
34,1928.0,59.5,65.0,63.1
35,1929.0,59.2,64.3,64.7
36,1930.0,58.8,62.9,65.3
37,1931.0,59.7,65.2,64.2
38,1932.0,61.8,61.1,63.2
39,1933.0,60.3,64.0,66.8
40,1934.0,62.2,63.9,66.5
41,1935.0,61.6,64.9,64.7
42,1936.0,63.2,65.9,66.4
43,1937.0,63.0,65.8,64.4
44,1938.0,62.7,67.3,63.3
45,1939.0,59.8,65.9,66.6
46,1940.0,64.5,66.0,66.4
47,1941.0,62.2,69.5,65.5
48,1942.0,60.7,67.7,67.7
49,1943.0,60.1,64.3,63.9
50,1944.0,60.9,65.5,64.5
51,1945.0,60.7,66.5,64.8
52,1946.0,60.4,66.5,65.0
53,1947.0,61.5,65.6,64.3
54,1948.0,63.8,64.4,63.0
55,1949.0,60.8,63.5,64.6
56,1950.0,61.9,65.7,66.0
57,1951.0,63.8,66.4,64.3
58,1952.0,58.9,65.5,65.7
59,1953.0,58.5,65.4,65.7
60,1954.0,58.1,62.2,62.0
61,1955.0,59.6,62.0,63.2
62,1956.0,58.9,66.7,65.3
63,1957.0,62.2,63.6,64.6
64,1958.0,65.7,70.6,68.5
65,1959.0,61.9,67.8,64.4
66,1960.0,61.6,67.6,63.4
67,1961.0,64.7,67.8,69.2
68,1962.0,61.2,65.1,64.9
69,1963.0,59.9,63.6,65.3
70,1964.0,60.2,65.3,64.3
71,1965.0,62.5,67.1,66.0
72,1966.0,61.2,64.5,66.3
73,1967.0,65.2,67.3,70.5
74,1968.0,61.9,68.5,64.8
75,1969.0,65.0,64.9,63.5
76,1970.0,64.3,66.2,65.4
77,1971.0,58.1,66.0,68.4
78,1972.0,60.1,65.9,66.2
79,1973.0,60.6,65.6,62.2
80,1974.0,61.0,64.2,66.3
81,1975.0,59.6,66.1,62.8
82,1976.0,59.1,65.0,63.0
83,1977.0,61.4,63.0,68.0
84,1978.0,63.8,65.3,64.9
85,1979.0,61.3,66.3,65.2
86,1980.0,59.1,64.5,63.2
87,1981.0,60.0,65.1,69.4
88,1982.0,64.2,64.0,65.1
89,1983.0,61.6,64.5,66.6
90,1984.0,60.3,65.7,65.5
91,1985.0,61.5,69.5,65.6
92,1986.0,63.6,63.1,69.2
93,1987.0,63.5,64.5,65.7
94,1988.0,60.3,65.3,64.7
95,1989.0,63.0,63.8,64.6
96,1990.0,61.2,68.0,67.5
97,1991.0,58.6,66.3,66.8
98,1992.0,65.0,66.4,67.0
99,1993.0,62.0,62.9,66.2
100,1994.0,61.0,68.2,68.0
101,1995.0,63.2,67.8,63.5
102,1996.0,60.8,67.6,67.0
103,1997.0,61.4,66.4,69.3
104,1998.0,60.8,-999.0,-999.0
105,1999.0,-999.0,-999.0,65.7
106,2000.0,61.3,65.1,64.5
107,2001.0,58.8,63.9,66.0
108,2002.0,61.8,65.4,66.0
109,2003.0,62.8,68.2,67.1
110,2004.0,63.4,68.6,68.8
111,2005.0,60.6,66.1,67.4
112,2006.0,62.7,67.3,65.4
113,2007.0,60.5,68.1,66.0
114,2008.0,58.1,64.6,66.5
115,2009.0,63.4,69.1,66.7
116,2010.0,59.2,64.4,65.3
117,2011.0,59.4,63.5,66.4
118,2012.0,58.7,64.6,67.7
119,2013.0,63.9,67.1,69.0
120,2014.0,62.1,69.0,69.5
121,2015.0,67.1,70.9,68.4
122,2016.0,63.6,67.0,68.6
123,2017.0,62.6,67.0,69.7
124,2018.0,62.0,70.0,68.5
125,2019.0,62.0,65.5,68.5
126,2020.0,61.5,65.8,67.2
